PRN	C1C	L1C	D1C	S1C
G01	22883665.81325	-0.00025	-517.32025	34.80025
G06	24749355.82224	0.00024	3419.80024	26.50024
G07	23528702.86325	-0.00025	-3033.49725	31.40025
G13	21422611.08025	-0.00025	-543.58925	33.00025
G14	20976285.16525	-0.00025	-850.90625	33.70025
G15	23274761.56324	0.00024	468.65024	28.20024
G17	20275291.25324	0.00024	10.87224	29.20024
G19	21005133.89325	0.00025	2286.27725	32.00025
G21	25058309.93825	-0.00025	-2092.79825	33.70025
G28	21103603.72425	-0.00025	-471.86725	34.10025
G30	21006035.36926	-0.00026	-1566.48726	35.70026
R14	21481716.36225	-0.00025	-1591.23825	34.90025
R18	21262920.03225	0.00025	3962.36825	33.10025
R16	22915427.62424	0.00024	2824.85024	23.80024
R15	20129972.55526	0.00026	930.98026	36.20026
R05	22923372.72424	-0.00024	-3068.85024	26.50024
R24	22030397.11826	-0.00026	-3154.20326	35.50026
